x,v
0.02512,0.09085
0.04004,0.10489
0.05647,0.11799
0.07245,0.12731
0.08812,0.13443
0.10454,0.13966
0.12052,0.1435
0.13619,0.14665
0.15216,0.14772
0.16858,0.1474
0.18365,0.14645
0.19992,0.14463
0.21544,0.14204
0.23201,0.13896
0.24813,0.13486
0.26485,0.12976
0.28037,0.12283
0.29573,0.11678
0.31216,0.10929
0.32782,0.10173
0.34364,0.09429
0.36036,0.08611
0.37542,0.07741
0.39184,0.06841
0.40751,0.05971
0.42378,0.04995
0.44005,0.04126
0.45511,0.03168
0.47138,0.02123
0.48795,0.01159
0.50362,0.00258
0.51973,-0.00838
0.5354,-0.01871
0.55122,-0.02847
0.56764,-0.03754
0.5827,-0.04718
0.59927,-0.05713
0.61464,-0.06595
0.63075,-0.07464
0.64747,-0.08459
0.66254,-0.0931
0.67896,-0.10091
0.69493,-0.10941
0.71014,-0.11666
0.72656,-0.12352
0.74208,-0.12875
0.7588,-0.13549
0.77402,-0.14022
0.78968,-0.1445
0.80596,-0.14677
0.82208,-0.14878
0.8379,-0.15011
0.85342,-0.14986
0.86984,-0.14784
0.88596,-0.144
0.90254,-0.13972
0.91746,-0.13355
0.93403,-0.12561
