x,tau
0.0052526,0.04827
0.006067,0.04911
0.007456,0.05004
0.008634,0.05187
0.011258,0.05854
0.012035,0.05972
0.01468,0.06476
0.016459,0.06876
0.020236,0.07617
0.023052,0.08107
0.027851,0.08981
0.031476,0.09648
0.037787,0.10508
0.041899,0.11338
0.048959,0.12613
0.054114,0.13488
0.06303,0.14852
0.06901,0.1583
0.07899,0.17253
0.08758,0.18306
0.09835,0.19907
0.11883,0.22635
0.12845,0.23702
0.14333,0.25481
0.15129,0.26311
0.1699,0.28164
0.18076,0.29202
0.19853,0.3104
0.21189,0.32152
0.23198,0.33857
0.2476,0.35058
0.27064,0.37
0.28476,0.38038
0.31176,0.39817
0.33011,0.40914
0.35798,0.42678
0.38026,0.43879
0.41105,0.45658
0.43594,0.46814
0.475,0.48653
0.50377,0.4975
0.54977,0.51618
0.58214,0.52745
0.6293,0.54598
0.6674,0.55843
0.7237,0.57592
0.7639,0.58689
0.8271,0.60469
0.8828,0.61743
0.9611,0.6342
1.0278,0.64634
1.1907,0.67501
1.3082,0.69257
1.4004,0.70425
1.5572,0.72087
1.6735,0.73096
1.8423,0.74926
1.9701,0.75925
2.1863,0.77756
2.371,0.7883
2.6311,0.80474
2.8619,0.81529
3.2466,0.83051
3.5279,0.84051
3.9942,0.8561
4.4059,0.86609
5.0839,0.87964
5.6136,0.88841
6.582,0.90018
7.363,0.90915
8.773,0.92082
9.843,0.92764
13.106,0.94314
16.124,0.95126
18.181,0.9564
22.323,0.96172
25.451,0.96508
30.999,0.96947
35.449,0.97302
43.786,0.97563
49.971,0.9774
61.354,0.9803
71.01,0.98263
86.06,0.98478
100.8,0.9859
128.56,0.98851
